x	Curve1
0.00301	0.00091
0.0145	0.018
0.02576	0.04651
0.03696	0.0887
0.04062	0.11721
0.04428	0.14571
0.05174	0.17422
0.0554	0.20273
0.05601	0.26518
0.05609	0.24889
0.05622	0.22445
0.06639	0.28483
0.07005	0.31333
0.07751	0.34184
0.08117	0.37035
0.08483	0.39885
0.08849	0.42736
0.09595	0.45586
0.10722	0.48437
0.12229	0.51174
0.14497	0.53911
0.18286	0.56535
0.2436	0.58589
0.33487	0.58364
0.41859	0.57112
0.48334	0.55062
0.53669	0.52669
0.57865	0.50048
0.61301	0.47426
0.64736	0.44805
0.67792	0.42069
0.71612	0.3865
0.75048	0.36029
0.77095	0.33598
0.81631	0.31699
0.84648	0.32062
0.86454	0.32877
0.89125	0.34436
0.91773	0.37174
0.95552	0.4185
0.9782	0.44587
0.99707	0.47438
1.01975	0.50175
1.04623	0.52912
1.08032	0.55536
1.13344	0.57818
1.21703	0.59075
1.31211	0.58849
1.39583	0.57598
1.46818	0.55662
1.52153	0.53383
1.56728	0.50876
1.59399	0.49052
1.62835	0.46431
1.65891	0.43695
1.68946	0.4096
1.72002	0.38338
1.75438	0.35603
1.76992	0.339
1.80926	0.32
1.84547	0.32001
1.87259	0.32907
1.89133	0.34467
1.91781	0.37204
1.94049	0.39941
1.96316	0.42792
1.98203	0.45529
2.00471	0.48266
2.02738	0.51118
2.05387	0.53741
2.09557	0.56365
2.1563	0.58533
2.24372	0.5922
2.33501	0.58652
2.41874	0.57287
2.48349	0.55236
2.53684	0.52843
2.5788	0.50222
2.61316	0.47601
2.64752	0.44865
2.67807	0.42244
2.70863	0.39508
2.73919	0.36773
2.77194	0.3393
2.80522	0.32302
2.85049	0.32303
2.88383	0.33812
2.91412	0.3655
2.93679	0.39287
2.95567	0.42024
2.97834	0.44875
2.99156	0.47692
