run_time   "Position[0][0]"   "Position[0][1]"   
0   0.019889403   0.001081123   
0.000176334   0.019894715   0.001133341   
0.000326071   0.019902527   0.001181598   
0.000415016   0.019907576   0.001209036   
0.000508446   0.019912076   0.001237811   
0.000603467   0.019915511   0.001266633   
0.000697822   0.019917603   0.001295288   
0.000791835   0.019917969   0.001323812   
0.00088496   0.019916957   0.001353467   
0.00097617   0.019915276   0.001382932   
0.00106525   0.019913327   0.001410639   
0.0011525   0.019911489   0.001436852   
0.00123908   0.019910221   0.001463182   
0.00132554   0.019909505   0.001489728   
0.00141172   0.019909296   0.001516164   
0.00149634   0.019909472   0.001542069   
0.00157996   0.019909995   0.001567500   
0.00166276   0.019910833   0.001592136   
0.00174518   0.019911224   0.001603561   
0.00182624   0.019912134   0.001581333   
0.00191042   0.019913222   0.001555738   
0.0019999   0.019914527   0.001529140   
0.00208875   0.019915013   0.001501510   
0.0021812   0.019914713   0.001474848   
0.00227116   0.019914051   0.001450691   
0.00235609   0.019913498   0.001428575   
0.00244042   0.019913255   0.001406390   
0.00252501   0.019913523   0.001382834   
0.00261259   0.019914263   0.001356661   
0.00270066   0.019915261   0.001331290   
0.00279018   0.019916376   0.001305719   
0.00288002   0.019917034   0.001280712   
0.00296956   0.019916877   0.001255686   
0.00305983   0.019915932   0.001229411   
0.00315108   0.019914767   0.001202932   
0.00324154   0.019913938   0.001177354   
0.00332964   0.019913793   0.001153471   
0.00341853   0.019914084   0.001136275   
0.00351213   0.019914361   0.001138726   
0.00361228   0.019914409   0.001161814   
0.00376669   0.019914036   0.001211058   
0.00386075   0.019913856   0.001240340   
0.00395143   0.019914111   0.001261553   
0.00404646   0.019914783   0.001280167   
0.00414401   0.019915483   0.001299712   
0.00424123   0.019916041   0.001321981   
0.00433699   0.019916450   0.001347290   
0.00443248   0.019916831   0.001373602   
0.00452706   0.019917062   0.001398777   
0.00461818   0.019916993   0.001422122   
0.0047055   0.019916842   0.001444542   
0.00478958   0.019916781   0.001465957   
0.0048708   0.019916837   0.001487107   
0.00494989   0.019916926   0.001508231   
0.00502725   0.019917093   0.001528163   
0.00510287   0.019917633   0.001546642   
0.00517764   0.019918474   0.001557126   
0.00525295   0.019919223   0.001551061   
0.00533046   0.019919895   0.001532163   
0.00541214   0.019920323   0.001505003   
0.00549905   0.019920259   0.001477036   
0.00559131   0.019919919   0.001450441   
0.00568289   0.019919312   0.001430827   
0.00577532   0.019918961   0.001415737   
0.00586926   0.019919208   0.001399251   
