run_time   "Position[0][0]"   "Position[0][1]"   
0   0.037411111   0.001325081   
0.00150478   0.037411082   0.001319945   
0.00281877   0.037411014   0.001309382   
0.00379403   0.037410811   0.001299541   
0.00484392   0.037410479   0.001288046   
0.00621294   0.037409990   0.001274142   
0.007508   0.037409345   0.001265800   
0.00893568   0.037408437   0.001260134   
0.0104215   0.037407750   0.001255805   
0.0119261   0.037407539   0.001251060   
0.0134305   0.037407750   0.001245197   
0.014935   0.037408043   0.001239198   
0.0164401   0.037408028   0.001234287   
0.0179459   0.037407877   0.001230985   
0.0194522   0.037407902   0.001229277   
0.0209583   0.037408152   0.001228222   
0.0224639   0.037408612   0.001228330   
0.023969   0.037409123   0.001230456   
0.0254736   0.037409607   0.001234532   
0.0269783   0.037410154   0.001239484   
0.0284833   0.037410935   0.001243664   
0.0299891   0.037411917   0.001246670   
0.0314954   0.037413106   0.001248123   
0.0329831   0.037414130   0.001248368   
0.0344709   0.037414814   0.001247948   
0.0359586   0.037415306   0.001246883   
0.0374085   0.037415776   0.001245058   
0.0387829   0.037416258   0.001242982   
0.0400821   0.037416759   0.001240948   
0.0413248   0.037417226   0.001239157   
0.0425298   0.037417675   0.001237535   
0.0437725   0.037418071   0.001235587   
0.0450715   0.037418331   0.001232965   
0.0463703   0.037418443   0.001230053   
0.0475751   0.037418469   0.001227409   
0.0486481   0.037418542   0.001225195   
0.0496271   0.037418661   0.001223322   
0.0504931   0.037418770   0.001221742   
0.0513027   0.037418871   0.001220301   
0.052037   0.037418962   0.001219036   
0.0527336   0.037419037   0.001217904   
0.0533926   0.037419096   0.001216923   
0.0540328   0.037419155   0.001216082   
0.0546543   0.037419214   0.001215379   
0.0552569   0.037419268   0.001214798   
0.0558596   0.037419316   0.001214301   
0.0564622   0.037419353   0.001213881   
0.0570838   0.037419375   0.001213514   
0.0577053   0.037419371   0.001213197   
0.0583645   0.037419342   0.001212894   
0.0590425   0.037419308   0.001212613   
0.0597394   0.037419305   0.001212360   
0.0604551   0.037419348   0.001212144   
0.0611897   0.037419432   0.001211974   
0.0619431   0.037419543   0.001211875   
0.0627153   0.037419668   0.001211885   
0.0635064   0.037419784   0.001212031   
0.0642974   0.037419863   0.001212303   
0.0650884   0.037419904   0.001212661   
0.0658606   0.037419929   0.001213049   
0.066614   0.037419950   0.001213426   
0.0673485   0.037419966   0.001213767   
0.068083   0.037419980   0.001214087   
0.0687987   0.037419992   0.001214397   
0.0695144   0.037419999   0.001214727   
0.0702301   0.037419990   0.001215097   
0.0709269   0.037419969   0.001215502   
0.0716049   0.037419939   0.001215938   
0.0723017   0.037419899   0.001216433   
0.0729232   0.037419857   0.001216912   
0.07362   0.037419802   0.001217478   
0.0742227   0.037419743   0.001217973   
0.0748253   0.037419665   0.001218455   
0.0753903   0.037419566   0.001218881   
0.0759741   0.037419438   0.001219286   
0.0765391   0.037419300   0.001219638   
0.0771229   0.037419154   0.001219963   
0.0776878   0.037419021   0.001220243   
0.0782716   0.037418894   0.001220503   
0.0788554   0.037418780   0.001220741   
0.0793827   0.037418685   0.001220943   
0.0799477   0.037418590   0.001221160   
0.080475   0.037418501   0.001221377   
0.0810211   0.037418403   0.001221629   
0.0815672   0.037418293   0.001221917   
0.0821133   0.037418168   0.001222240   
0.0826782   0.037418025   0.001222601   
0.0832431   0.037417869   0.001222978   
0.0838269   0.037417696   0.001223366   
0.0845801   0.037417462   0.001223847   
0.0852392   0.037417253   0.001224239   
0.0861995   0.037416951   0.001224777   
0.087254   0.037416621   0.001225359   
0.0884027   0.037416250   0.001226028   
0.0895701   0.037415871   0.001226754   
0.0906999   0.037415516   0.001227428   
0.0917731   0.037415184   0.001227947   
0.0927711   0.037414833   0.001228309   
0.0937125   0.037414417   0.001228577   
0.0945974   0.037413947   0.001228772   
0.0954259   0.037413447   0.001228884   
0.0962167   0.037412926   0.001228903   
0.0969698   0.037412400   0.001228826   
0.0977041   0.037411863   0.001228651   
0.0984384   0.037411292   0.001228380   
0.099135   0.037410711   0.001228039   
0.10002   0.037409914   0.001227506   
0.100811   0.037409153   0.001226954   
0.101545   0.037408409   0.001226395   
0.102242   0.037407675   0.001225828   
0.102901   0.037406955   0.001225257   
0.103522   0.037406251   0.001224686   
0.104237   0.037405403   0.001223992   
0.104915   0.037404552   0.001223300   
0.105198   0.037404183   0.001223002   
0.105838   0.037403314   0.001222305   
0.10612   0.037402918   0.001221988   
