x	Bottom	Top
0.00468	-0.10198	0.09802
0.04368	-0.10198	0.1
0.08112	-0.10594	0.10396
0.117	-0.12178	0.1198
0.15289	-0.10396	0.10198
0.18097	-0.07228	0.07212
0.18253	-0.07037	0.0703
0.21061	-0.03861	0.03861
0.24337	-0.01287	0.01089
0.28081	-0.00495	0.00286
0.28237	-0.00509	0.00297
0.31825	-0.01683	0.01485
0.35257	-0.03861	0.03861
0.38222	-0.06832	0.06658
0.38378	-0.07016	0.06832
0.4103	-0.10396	0.10198
0.43682	-0.1396	0.13762
0.46334	-0.17525	0.17525
0.49298	-0.20693	0.20693
0.52574	-0.23069	0.23003
0.5273	-0.23145	0.23069
0.56318	-0.24059	0.23658
0.56474	-0.24068	0.23663
0.60218	-0.23861	0.2367
0.60374	-0.23847	0.23663
0.63963	-0.23663	0.23468
0.64119	-0.23664	0.23465
0.67707	-0.24059	0.23822
0.67863	-0.24099	0.23861
0.71451	-0.25644	0.25446
0.74571	-0.28218	0.2802
0.77535	-0.31209	0.31188
0.77691	-0.31386	0.31366
0.80343	-0.34752	0.34554
0.83151	-0.38119	0.38119
0.85959	-0.41124	0.41089
0.86115	-0.41287	0.41243
0.8908	-0.44059	0.43861
0.92512	-0.45842	0.45644
0.961	-0.4703	0.46634
0.99844	-0.47822	0.47624
