run_time   "Position[0][0]"   "Position[0][1]"   
0   0.037409759   -0.001406202   
0.00150478   0.037409760   -0.001400777   
0.00281877   0.037409711   -0.001389596   
0.00379403   0.037409573   -0.001379137   
0.00484392   0.037409288   -0.001366802   
0.00621294   0.037408709   -0.001352337   
0.007508   0.037407934   -0.001343841   
0.00893568   0.037406913   -0.001337693   
0.0104215   0.037406236   -0.001331546   
0.0119261   0.037406165   -0.001324428   
0.0134305   0.037406456   -0.001316675   
0.014935   0.037406802   -0.001309481   
0.0164401   0.037406898   -0.001303719   
0.0179459   0.037406901   -0.001300062   
0.0194522   0.037407056   -0.001298474   
0.0209583   0.037407399   -0.001297601   
0.0224639   0.037407949   -0.001297718   
0.023969   0.037408432   -0.001299584   
0.0254736   0.037408781   -0.001303114   
0.0269783   0.037409221   -0.001307359   
0.0284833   0.037410041   -0.001311055   
0.0299891   0.037411242   -0.001313914   
0.0314954   0.037412626   -0.001315336   
0.0329831   0.037413885   -0.001315508   
0.0344709   0.037414781   -0.001315217   
0.0359586   0.037415429   -0.001314611   
0.0374085   0.037415950   -0.001313449   
0.0387829   0.037416491   -0.001311987   
0.0400821   0.037417104   -0.001310500   
0.0413248   0.037417727   -0.001309243   
0.0425298   0.037418297   -0.001308113   
0.0437725   0.037418809   -0.001306569   
0.0450715   0.037419177   -0.001304188   
0.0463703   0.037419350   -0.001301415   
0.0475751   0.037419388   -0.001298853   
0.0486481   0.037419437   -0.001296692   
0.0496271   0.037419548   -0.001294824   
0.0504931   0.037419666   -0.001293213   
0.0513027   0.037419785   -0.001291743   
0.052037   0.037419903   -0.001290480   
0.0527336   0.037420011   -0.001289386   
0.0533926   0.037420096   -0.001288469   
0.0540328   0.037420162   -0.001287701   
0.0546543   0.037420220   -0.001287067   
0.0552569   0.037420278   -0.001286537   
0.0558596   0.037420342   -0.001286071   
0.0564622   0.037420415   -0.001285654   
0.0570838   0.037420493   -0.001285264   
0.0577053   0.037420561   -0.001284904   
0.0583645   0.037420611   -0.001284547   
0.0590425   0.037420638   -0.001284218   
0.0597394   0.037420669   -0.001283938   
0.0604551   0.037420734   -0.001283724   
0.0611897   0.037420848   -0.001283592   
0.0619431   0.037421004   -0.001283568   
0.0627153   0.037421182   -0.001283685   
0.0635064   0.037421353   -0.001283959   
0.0642974   0.037421475   -0.001284356   
0.0650884   0.037421536   -0.001284818   
0.0658606   0.037421561   -0.001285275   
0.066614   0.037421580   -0.001285689   
0.0673485   0.037421606   -0.001286052   
0.068083   0.037421646   -0.001286398   
0.0687987   0.037421705   -0.001286751   
0.0695144   0.037421780   -0.001287145   
0.0702301   0.037421856   -0.001287591   
0.0709269   0.037421910   -0.001288078   
0.0716049   0.037421934   -0.001288592   
0.0723017   0.037421930   -0.001289150   
0.0729232   0.037421909   -0.001289666   
0.07362   0.037421876   -0.001290255   
0.0742227   0.037421845   -0.001290766   
0.0748253   0.037421809   -0.001291270   
0.0753903   0.037421766   -0.001291723   
0.0759741   0.037421707   -0.001292161   
0.0765391   0.037421635   -0.001292551   
0.0771229   0.037421552   -0.001292913   
0.0776878   0.037421473   -0.001293221   
0.0782716   0.037421402   -0.001293492   
0.0788554   0.037421344   -0.001293713   
0.0793827   0.037421306   -0.001293878   
0.0799477   0.037421279   -0.001294035   
0.080475   0.037421262   -0.001294183   
0.0810211   0.037421245   -0.001294359   
0.0815672   0.037421219   -0.001294573   
0.0821133   0.037421176   -0.001294828   
0.0826782   0.037421110   -0.001295131   
0.0832431   0.037421019   -0.001295459   
0.0838269   0.037420900   -0.001295807   
0.0845801   0.037420710   -0.001296241   
0.0852392   0.037420516   -0.001296590   
0.0861995   0.037420223   -0.001297049   
0.087254   0.037419925   -0.001297521   
0.0884027   0.037419631   -0.001298057   
0.0895701   0.037419326   -0.001298640   
0.0906999   0.037419001   -0.001299174   
0.0917731   0.037418655   -0.001299567   
0.0927711   0.037418283   -0.001299827   
0.0937125   0.037417859   -0.001300019   
0.0945974   0.037417388   -0.001300158   
0.0954259   0.037416887   -0.001300217   
0.0962167   0.037416361   -0.001300164   
0.0969698   0.037415827   -0.001299983   
0.0977041   0.037415281   -0.001299677   
0.0984384   0.037414704   -0.001299250   
0.099135   0.037414114   -0.001298751   
0.10002   0.037413288   -0.001298015   
0.100811   0.037412473   -0.001297287   
0.101545   0.037411657   -0.001296570   
0.102242   0.037410837   -0.001295854   
0.102901   0.037410030   -0.001295141   
0.103522   0.037409248   -0.001294435   
0.104237   0.037408330   -0.001293585   
0.104915   0.037407441   -0.001292749   
0.105198   0.037407064   -0.001292393   
0.105838   0.037406189   -0.001291570   
0.10612   0.037405793   -0.001291201   
0.106685   0.037404983   -0.001290454   
0.106948   0.037404595   -0.001290104   
0.107683   0.037403484   -0.001289133   
0.107965   0.037403046   -0.001288766   
0.108567   0.037402093   -0.001288006   
0.10885   0.037401640   -0.001287664   
0.109433   0.037400694   -0.001286995   
0.109697   0.037400264   -0.001286711   
0.109923   0.037399894   -0.001286477   
0.110506   0.037398933   -0.001285914   
0.110751   0.037398527   -0.001285694   
0.110996   0.037398119   -0.001285483   
0.111203   0.037397773   -0.001285311   
0.111579   0.037397138   -0.001285013   
0.111824   0.037396722   -0.001284827   
0.112012   0.037396400   -0.001284688   
0.112182   0.037396109   -0.001284566   
0.112445   0.037395654   -0.001284380   
0.112652   0.037395294   -0.001284238   
0.112841   0.037394965   -0.001284112   
0.113085   0.037394535   -0.001283950   
0.113292   0.037394169   -0.001283817   
0.113462   0.037393869   -0.001283709   
0.113631   0.037393567   -0.001283603   
0.113914   0.037393063   -0.001283429   
0.114158   0.037392625   -0.001283283   
0.114365   0.037392253   -0.001283161   
0.114554   0.037391915   -0.001283053   
0.114761   0.037391543   -0.001282936   
0.11493   0.037391238   -0.001282844   
0.115099   0.037390934   -0.001282754   
0.11525   0.037390664   -0.001282676   
0.115551   0.037390125   -0.001282527   
0.115815   0.037389655   -0.001282405   
0.116041   0.037389253   -0.001282307   
0.116229   0.037388919   -0.001282230   
0.116417   0.037388586   -0.001282159   
0.116586   0.037388287   -0.001282099   
0.116756   0.037387989   -0.001282043   
0.117057   0.037387461   -0.001281953   
0.117302   0.037387033   -0.001281889   
0.117528   0.037386640   -0.001281837   
0.117735   0.037386280   -0.001281795   
0.117923   0.037385953   -0.001281761   
0.118092   0.037385660   -0.001281734   
0.11845   0.037385042   -0.001281686   
0.118713   0.037384588   -0.001281658   
0.11892   0.037384231   -0.001281640   
0.119127   0.037383874   -0.001281625   
0.119334   0.037383517   -0.001281613   
0.119523   0.037383193   -0.001281603   
0.119749   0.037382804   -0.001281594   
0.120012   0.037382350   -0.001281587   
0.120219   0.037381994   -0.001281584   
0.120407   0.037381671   -0.001281583   
0.120614   0.037381316   -0.001281583   
0.120803   0.037380994   -0.001281586   
0.12101   0.037380642   -0.001281591   
0.121254   0.037380226   -0.001281601   
0.12148   0.037379845   -0.001281614   
0.121687   0.037379497   -0.001281630   
0.121875   0.037379181   -0.001281648   
0.122082   0.037378835   -0.001281671   
0.122271   0.037378521   -0.001281696   
0.122478   0.037378177   -0.001281728   
0.12276   0.037377707   -0.001281779   
0.122986   0.037377332   -0.001281826   
0.123193   0.037376988   -0.001281874   
0.123419   0.037376613   -0.001281931   
0.123626   0.037376268   -0.001281988   
0.123852   0.037375892   -0.001282054   
0.124059   0.037375547   -0.001282119   
0.124303   0.037375139   -0.001282200   
0.12451   0.037374794   -0.001282272   
0.124699   0.037374479   -0.001282340   
0.124925   0.037374101   -0.001282424   
0.125169   0.037373690   -0.001282518   
0.125395   0.037373310   -0.001282606   
0.12564   0.037372897   -0.001282704   
0.125847   0.037372545   -0.001282788   
0.126035   0.037372225   -0.001282866   
0.126261   0.037371839   -0.001282961   
0.126468   0.037371484   -0.001283049   
0.12675   0.037370996   -0.001283172   
0.127014   0.037370538   -0.001283292   
0.12724   0.037370142   -0.001283397   
0.127447   0.037369777   -0.001283497   
0.127786   0.037369175   -0.001283669   
0.128049   0.037368701   -0.001283811   
0.128331   0.037368190   -0.001283970   
0.128538   0.037367811   -0.001284092   
0.128858   0.037367221   -0.001284290   
0.129103   0.037366765   -0.001284447   
0.129442   0.037366128   -0.001284674   
0.129687   0.037365663   -0.001284842   
0.130044   0.037364975   -0.001285093   
0.130308   0.037364463   -0.001285281   
0.13059   0.037363909   -0.001285484   
0.130948   0.037363197   -0.001285741   
0.13123   0.037362627   -0.001285942   
0.131588   0.037361895   -0.001286193   
0.131851   0.037361347   -0.001286375   
0.132209   0.037360593   -0.001286617   
0.132453   0.037360069   -0.001286780   
0.132755   0.037359417   -0.001286977   
0.133169   0.037358506   -0.001287244   
0.133432   0.037357918   -0.001287412   
0.133771   0.037357155   -0.001287627   
0.134223   0.037356122   -0.001287913   
0.134524   0.037355426   -0.001288104   
0.134844   0.037354679   -0.001288308   
0.135239   0.037353749   -0.001288558   
0.135502   0.037353124   -0.001288723   
0.135898   0.037352178   -0.001288966   
0.13618   0.037351497   -0.001289135   
0.136556   0.037350582   -0.001289351   
0.13682   0.037349936   -0.001289494   
0.137215   0.037348958   -0.001289695   
0.137629   0.037347921   -0.001289884   
0.137968   0.037347065   -0.001290023   
0.138306   0.037346199   -0.001290146   
0.138701   0.037345178   -0.001290274   
0.139115   0.037344093   -0.001290392   
0.139529   0.037342992   -0.001290498   
0.139868   0.037342076   -0.001290580   
0.140282   0.037340939   -0.001290675   
0.14064   0.037339939   -0.001290755   
0.141035   0.037338817   -0.001290839   
0.141543   0.037337352   -0.001290938   
0.141863   0.037336420   -0.001290993   
0.142446   0.037334708   -0.001291073   
0.142898   0.037333379   -0.001291112   
0.1435   0.037331611   -0.001291131   
0.144139   0.037329740   -0.001291104   
0.144817   0.037327765   -0.001291026   
0.145532   0.037325674   -0.001290891   
0.146303   0.037323393   -0.001290693   
0.147131   0.037320896   -0.001290433   
0.147921   0.037318457   -0.001290151   
0.148767   0.037315781   -0.001289819   
0.149727   0.037312681   -0.001289411   
0.150686   0.037309537   -0.001288979   
0.151646   0.037306376   -0.001288540   
0.152605   0.037303217   -0.001288113   
0.153583   0.037300004   -0.001287682   
0.154562   0.037296791   -0.001287231   
0.155483   0.037293762   -0.001286773   
0.156368   0.037290853   -0.001286306   
0.157214   0.037288055   -0.001285853   
0.158023   0.037285355   -0.001285443   
0.158794   0.037282751   -0.001285096   
0.159528   0.037280252   -0.001284816   
0.159829   0.037279224   -0.001284715   
0.160431   0.037277170   -0.001284530   
0.160694   0.037276274   -0.001284455   
0.161202   0.037274558   -0.001284315   
0.161503   0.037273549   -0.001284233   
0.161785   0.037272610   -0.001284156   
0.162011   0.037271865   -0.001284094   
0.162444   0.037270453   -0.001283976   
0.162707   0.037269603   -0.001283904   
0.163027   0.037268583   -0.001283819   
0.163271   0.037267810   -0.001283756   
0.163629   0.037266693   -0.001283669   
0.163911   0.037265821   -0.001283604   
0.164249   0.037264784   -0.001283531   
0.164494   0.037264041   -0.001283483   
0.164833   0.037263019   -0.001283421   
0.165096   0.037262228   -0.001283378   
0.165434   0.037261216   -0.001283326   
0.165679   0.037260488   -0.001283292   
0.165886   0.037259873   -0.001283265   
0.166187   0.037258978   -0.001283227   
0.166431   0.037258252   -0.001283199   
0.166751   0.037257303   -0.001283165   
0.166995   0.037256577   -0.001283140   
0.167202   0.037255962   -0.001283120   
0.16739   0.037255404   -0.001283103   
0.167691   0.037254510   -0.001283077   
0.167936   0.037253784   -0.001283058   
0.168162   0.037253115   -0.001283041   
0.168387   0.037252447   -0.001283025   
0.168613   0.037251780   -0.001283010   
0.168801   0.037251226   -0.001282999   
0.16897   0.037250728   -0.001282990   
0.169252   0.037249903   -0.001282977   
0.169478   0.037249246   -0.001282968   
0.169666   0.037248702   -0.001282963   
0.169948   0.037247892   -0.001282958   
0.170193   0.037247197   -0.001282957   
0.170399   0.037246614   -0.001282960   
0.170569   0.037246141   -0.001282964   
0.170832   0.037245412   -0.001282974   
0.171039   0.037244845   -0.001282985   
0.171302   0.037244131   -0.001283004   
0.171547   0.037243476   -0.001283027   
0.171791   0.037242828   -0.001283053   
0.171998   0.037242286   -0.001283078   
0.172242   0.037241651   -0.001283110   
0.17243   0.037241167   -0.001283137   
0.17275   0.037240353   -0.001283186   
0.173013   0.037239690   -0.001283228   
0.173258   0.037239079   -0.001283269   
0.173464   0.037238566   -0.001283304   
0.17369   0.037238010   -0.001283342   
0.173878   0.037237550   -0.001283375   
0.174141   0.037236908   -0.001283421   
0.174423   0.037236225   -0.001283472   
0.174668   0.037235636   -0.001283517   
0.174893   0.037235094   -0.001283559   
0.175119   0.037234555   -0.001283602   
0.175382   0.037233928   -0.001283653   
0.175664   0.037233258   -0.001283711   
0.175909   0.037232680   -0.001283763   
0.176172   0.037232059   -0.001283821   
0.176398   0.037231529   -0.001283872   
0.176792   0.037230604   -0.001283965   
0.177131   0.037229815   -0.001284047   
0.177432   0.037229117   -0.001284123   
0.177657   0.037228596   -0.001284180   
0.177977   0.037227862   -0.001284264   
0.17824   0.037227261   -0.001284334   
0.178616   0.037226409   -0.001284436   
0.17886   0.037225860   -0.001284504   
0.179236   0.037225026   -0.001284611   
0.179556   0.037224325   -0.001284706   
0.179876   0.037223635   -0.001284804   
0.180139   0.037223074   -0.001284887   
0.18059   0.037222131   -0.001285036   
0.180928   0.037221438   -0.001285153   
0.181173   0.037220945   -0.001285241   
0.181549   0.037220201   -0.001285380   
0.181868   0.037219580   -0.001285503   
0.182225   0.037218900   -0.001285646   
0.182601   0.037218199   -0.001285802   
0.182864   0.037217717   -0.001285915   
0.183316   0.037216905   -0.001286113   
0.183635   0.037216340   -0.001286256   
0.184049   0.037215620   -0.001286442   
0.184406   0.037215006   -0.001286600   
0.1848   0.037214334   -0.001286770   
0.185195   0.037213667   -0.001286931   
0.185552   0.037213065   -0.001287065   
0.185947   0.037212401   -0.001287199   
0.186361   0.037211705   -0.001287322   
0.186718   0.037211104   -0.001287414   
0.187263   0.037210187   -0.001287528   
0.187676   0.037209494   -0.001287596   
0.188146   0.037208713   -0.001287655   
0.188691   0.037207819   -0.001287701   
0.189011   0.037207301   -0.001287717   
0.189631   0.037206313   -0.001287726   
0.190007   0.037205726   -0.001287715   
0.190646   0.037204749   -0.001287665   
0.191134   0.037204019   -0.001287597   
0.191792   0.037203061   -0.001287459   
0.192337   0.037202288   -0.001287297   
0.19292   0.037201481   -0.001287071   
0.193596   0.037200566   -0.001286733   
0.194123   0.037199869   -0.001286414   
0.194837   0.037198939   -0.001285905   
0.195495   0.037198094   -0.001285368   
0.19604   0.037197401   -0.001284884   
0.196735   0.037196524   -0.001284229   
0.197411   0.037195683   -0.001283573   
0.197975   0.037194995   -0.001283026   
0.198595   0.037194258   -0.001282434   
0.199197   0.037193569   -0.001281878   
0.199779   0.037192933   -0.001281355   
0.200324   0.037192369   -0.001280877   
0.200851   0.037191858   -0.001280422   
0.201358   0.037191397   -0.001279986   
0.201753   0.037191061   -0.001279648   
0.202241   0.037190672   -0.001279232   
0.202711   0.037190325   -0.001278837   
0.2032   0.037189989   -0.001278438   
0.203839   0.037189586   -0.001277945   
